type,name,notice,furigana
燃えない,台車,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,た
燃えない,体重計（家庭用）,,た
燃えない,大正琴,コードは切って「硬質ごみ」へ,た
燃える,タイツ,,た
燃える,台所マット,４０㎝角以下のもの又はその寸法に切ったもの,た
燃えない,耐熱食器（ガラス含む）,,た
燃えない,タイプライター,,た
燃えない,タイマー,,た
特殊・硬質,タイヤチェーン（金属製）,,た
燃えない,タイヤチェーン（金属性以外）,,た
燃えない,タイル,少量に限る　１袋（４５㍑）までのもの,た
燃える,ダウン,,た
燃える,タオル,,た
燃えない,タオル掛け,,た
燃える,タオルケット,長さ１ｍ以下のもの又はその寸法に切ったもの,た
燃える,竹ぐし,,た
燃える,竹ほうき,長さ４０㎝以下に切ったもの,た
燃える,脱衣かご（木・竹製）,,た
燃えない,脱衣かご（木・竹製以外）,,た
燃える,脱酸素剤（菓子などに入っているもの）,,た
燃える,脱脂綿,,た
燃える,脱臭剤（容器含む）,,た
燃える,タッパー,,た
燃えない,楯,,た
燃える,棚（ラック）（木製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,た
燃えない,棚（ラック）（木製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,た
古紙・古衣類,タバコの空き箱（外箱）,（その他の紙）,た
燃える,タバコの空き箱（フィルム・アルミ紙）,,た
燃える,タバコの吸い殻,,た
燃える,たばこ用パイプフィルター,,た
燃える,足袋,,た
燃える,タフロープ,長さ１ｍ以下のもの又はその寸法に切ったもの,た
燃える,たも網,金具は取り外して「燃やせないごみ」へ,た
燃える,たも網の柄（竹製）,長さ４０㎝以下のもの又はその寸法に切ったもの,た
燃えない,たも網の柄（竹製以外）,長さ１ｍ以下のもの又はその寸法に切ったもの,た
燃えない,たまごきり,,た
燃える,卵の殻,,た
燃える,卵パック,,た
燃える,たまねぎ袋（ネット）,,た
燃える,タライ（木・竹製）,,た
燃えない,タライ（木・竹製以外）,,た
燃えない,たわし,,た
古紙・古衣類,単行本,（その他の紙）,た
燃える,タンスシート,,た
特殊・硬質,ダンベル,,た
古紙・古衣類,ダンボール,（ダンボール）金具、テープ類は取る,た
燃える,タンポン,,た
燃える,反物,長さ１ｍ以下のもの又はその寸法以下に切ったもの,た
特殊・硬質,チェーン（金属製）,,ち
燃えない,チェーン（金属製以外）,,ち
燃える,チェスト（木・竹製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,ち
燃えない,地球儀,,ち
燃えない,チャイム,,ち
燃えない,茶こし,,ち
燃えない,茶筒（プラスチック製）,,ち
燃えない,茶碗,,ち
燃えない,中華鍋,,ち
燃える,チューブ（自転車用）,長さ１ｍ以下のもの又はその寸法に切ったもの,ち
燃えない,彫刻刀,,ち
燃える,提灯,金具は取り外して「燃やせないごみ」へ,ち
燃えない,蝶番,,ち
燃える,調味料容器（木・竹製）,,ち
燃えない,調味料容器（木・竹製以外）,,ち
燃えない,調味料ケース,,ち
燃えない,調味料台,,ち
燃える,チョーク,,ち
燃える,チョッキ,,ち
古紙・古衣類,チラシ（新聞折り込み）,（その他の紙）,ち
燃えない,ちり取り,,ち
特殊・硬質,チップソー,,ち
燃える,つえ（木・竹製）,長さ４０㎝以下のもの又はその寸法に切ったもの,つ
燃えない,つえ（木製以外）,長さ１ｍ以下のもの又はその寸法以下に切ったもの,つ
燃える,使い捨てカイロ,,つ
燃えない,使い捨てライター,中身を使い切る,つ
燃える,つけ毛,,つ
特殊・硬質,漬物石,,つ
燃えない,漬物樽,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,つ
燃える,漬物袋,,つ
燃えない,つっぱり棚,長さ１ｍ以下のもの又はその寸法以下に切ったもの,つ
燃えない,つっぱり棒,長さ１ｍ以下のもの又はその寸法以下に切ったもの,つ
燃える,ツナギ,,つ
燃えない,壺,,つ
燃える,つまようじ,,つ
燃える,積み木（木製）,,つ
燃えない,積み木（プラスチック）,,つ
燃えない,爪切り,,つ
燃える,釣り糸,,つ
燃える,釣り竿（竹製）,長さ４０㎝以下のもの又はその寸法に切ったもの,つ
燃えない,釣り竿（その他）,長さ１ｍ以下のもの又はその寸法に切ったもの,つ
特殊・硬質,つるはし,,つ
燃える,ティー（ゴルフ用）,,て
燃える,ティーパック,,て
燃えない,Ｔ字カミソリ,,て
古紙・古衣類,ティッシュ箱,（その他の紙）ビニール類は取り除く,て
燃える,ティッシュペーパー,,て
燃える,デイバッグ,,て
燃えない,ＤＶＤディスク,,て
燃えない,ＤＶＤプレーヤー,コードは切って「硬質ごみ」へ,て
燃える,テープ（紙）,,て
燃えない,テープカッター,,て
燃える,テーブルクロス,１ｍ角以下のもの又はその寸法以下に切ったもの　金具は「燃やせないごみ」へ,て
燃えない,テーブルタップ,コードは切って「硬質ごみ」へ,て
燃えない,テープレコーダー,コードは切って「硬質ごみ」へ,て
燃えない,手鏡,,て
燃えない,テスター,,て
古紙・古衣類,手帳,（その他の紙）ビニールカバーは外して,て
特殊・硬質,鉄アレイ,,て
燃える,手袋,,て
燃えない,テレビゲーム機,コードは切って「硬質ごみ」へ,て
燃える,テレビ台（木製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,て
燃えない,テレビ台（木製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,て
燃える,テレホンカード,,て
燃えない,電気あんか,コードは切って「硬質ごみ」へ,て
燃えない,電気釜,コードは切って「硬質ごみ」へ,て
燃えない,電気カミソリ,コードは切って「硬質ごみ」へ,て
特殊・硬質,電気コード,,て
燃えない,電気コンロ,コードは切って「硬質ごみ」へ,て
燃えない,電気ストーブ,コードは切って「硬質ごみ」へ,て
燃えない,電気ヒゲ剃り,コードは切って「硬質ごみ」へ,て
燃えない,電気ポット,コードは切って「硬質ごみ」へ,て
燃えない,電球,,て
燃えない,電源アダプター,コードは切って「硬質ごみ」へ,て
燃えない,電磁調理器（家庭用）,コードは切って「硬質ごみ」へ,て
燃えない,電子レンジ,コードは切って「硬質ごみ」へ,て
燃えない,電卓,,て
特殊・硬質,電池（アルカリ乾電池）,一次電池（乾電池）,て
特殊・硬質,電池（マンガン乾電池）,一次電池（使い捨て電池）,て
特殊・硬質,電池（リチウム電池）,一次電池（使い捨て電池）,て
燃える,テント（キャンプ、登山用）,１ｍ角以下のもの又はその寸法以下に切ったもの　金具は「燃やせないごみ」へ,て
特殊・硬質,電動工具（カンナ）,,て
特殊・硬質,電動工具（サンダー）,,て
特殊・硬質,電動工具（ドリル）,,て
燃えない,電動歯ブラシ,コードは切って「硬質ごみ」へ,て
燃えない,天ぷらガード,,て
燃えない,天ぷらなべ,,て
燃えない,電話機,コードは切って「硬質ごみ」へ,て
燃える,電話台（木・竹製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,て
燃えない,電話台（木・竹製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,て
古紙・古衣類,電話帳,（その他の紙）,て
燃えない,ドアノブ,,と
燃える,投網,１ｍ角以下のもの又はその寸法以下に切ったもの　金具は「燃やせないごみ」へ,と
燃えない,砥石,,と
燃えない,トイレブラシ,,と
燃えない,投光器,コードは切って「硬質ごみ」へ,と
燃えない,陶磁器類,,と
燃える,透析バック,針は医療機関へ,と
燃えない,トースター,コードは切って「硬質ごみ」へ,と
燃えない,トーチ,,と
燃えない,時計,,と
燃えない,トタン,長さ１ｍ以下のもの又はその寸法に切ったもの,と
燃えない,とっくり,,と
燃えない,土鍋,,と
燃える,土のう袋,中の土は取り除く,と
燃えない,土瓶,,と
特殊・硬質,ドライバー（ゴルフクラブ）,,と
燃えない,ドライヤー,コードは切って「硬質ごみ」へ,と
燃える,トランクス,,と
燃えない,トランシーバー,,と
燃えない,ドリッパー,,と
燃える,ドリップ用フィルタ,,と
燃えない,ドリルの刃,太さ１０㎜以下のもの　１０㎜以上は「硬質ごみ」へ,と
燃えない,トレイ（金属製）,,と
燃える,トレイ（発泡・プラ製）,発泡トレイはなるべく販売店へ,と
燃える,トレーナー,,と
燃える,ドレッシング容器（その他）,中身を使い切る,と
燃えない,トロフィー,,と
燃えない,ドンブリ,,と
燃えない,ナイフ,,な
燃える,苗用ポット,,な
燃える,長靴,,な
燃えない,ナット,,な
燃える,ナップサック,,な
燃える,ナプキン,,な
燃える,名札,,な
燃えない,鍋,,な
燃える,鍋敷き（木・竹・布製）,,な
燃えない,鍋敷き（木・竹・布製以外）,,な
燃える,鍋つかみ,,な
燃える,生ゴミ,,な
燃えない,生ゴミ処理機,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,な
燃えない,波トタン,長さ１ｍ以下のもの又はその寸法に切ったもの,な
燃える,縄（ワラ）,,な
燃える,縄跳び紐,,な
燃えない,南京錠,,な
燃えない,ニス容器,中身を使い切る,に
燃える,入浴剤容器（缶以外）,中身を使い切る,に
燃える,人形（ぬいぐるみ等）,長さ４０㎝以下のもの又はその寸法に切ったもの,に
燃えない,人形（せともの）,,に
燃える,人形ケース（木製）,ガラスは外して,に
燃えない,人形ケース（木製以外）,ガラスは外して,に
燃える,布きれ,,ぬ
燃える,ネクタイ,,ね
燃えない,ネジ,,ね
燃えない,ネズミ捕カゴ,,ね
燃える,ネズミ捕シート,,ね
燃える,ネット（布製）,１ｍ角以下のもの又はその寸法に切ったもの,ね
燃えない,ネット（金属製）,１ｍ角以下のもの又はその寸法に切ったもの,ね
燃える,ネット（水切り用）,,ね
燃える,寝袋,,ね
燃える,練りわさび容器,,ね
燃える,粘土,,ね
古紙・古衣類,ノート,（その他の紙）,の
燃える,のり（接着剤）容器,,の
燃える,海苔（焼き海苔容器　缶・ビン以外）,,の
燃える,のれん,,の
燃えない,バーベキューコンロ,,は
燃える,灰,少量に限る,は
燃えない,灰皿,,は
特殊・硬質,パイプ（金属製）,少量に限る　長さ１ｍ以下のもの又はその寸法に切ったもの,は
燃えない,パイプ（金属製以外）,少量に限る　長さ１ｍ以下のもの又はその寸法に切ったもの,は
燃えない,パイプイス,,は
燃える,パイプ洗浄剤容器,中身を使い切る,は
燃える,パイプ断熱材,少量に限る　長さ１ｍ以下のもの又はその寸法に切ったもの,は
燃えない,バインダー,,は
燃えない,ハエたたき,,は
古紙・古衣類,はがき,（その他の紙）,は
燃えない,はがき印刷機,コードは切って「硬質ごみ」へ,は
燃えない,はかり,,は
燃えない,剥製,,は
燃えない,白熱球,,は
燃える,ハケ,,は
燃えない,バケツ,,は
燃えない,ハサミ,,は
燃えない,箸（金属製）,,は
燃える,箸（金属製以外）,,は
燃える,箸立て（木・竹製）,,は
燃えない,箸立て（木・竹製以外）,,は
燃える,箸箱（木・竹製）,,は
燃えない,箸箱（木・竹製以外）,,は
燃える,パジャマ,,は
燃える,バスケット（木・竹製）,,は
燃えない,バスケット（木・竹製以外）,,は
燃える,バスタオル,,は
燃える,バスマット（足拭き）,長さ４０㎝以下のもの又はその寸法に切ったもの,は
燃える,パズル（ジクソー）,,は
燃える,バターケース,,は
燃える,はたき,,は
燃えない,鉢,,は
燃える,発煙筒,使用済みに限る,は
燃える,バッテリー補充液容器,中身を使い切る,は
燃える,パット,,は
燃えない,バット（調理用）,,は
燃える,バット野球用（木製）,長さ４０㎝以下に切ったもの,は
燃えない,バット野球用（木製以外）,,は
燃える,はっぴ,,は
燃える,発泡スチロール,,は
燃える,鼻紙,,は
燃える,花火,使用済みに限る,は
燃えない,パネルヒーター,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,は
燃える,パフ,,は
燃えない,歯ブラシ,,は
燃える,歯磨き剤容器,中身を使い切る,は
燃える,バラン,,は
燃えない,針,,は
燃えない,針金,長さ１ｍ以下のもの又はその寸法に切ったもの,は
燃えない,ハロゲンヒーター,コードは切って「硬質ごみ」へ,は
燃えない,ハンガー,,は
燃えない,ハンガーボード,,は
燃える,ハンカチ,,は
燃えない,パンケース,,は
燃える,はんこ,,は
燃えない,飯ごう,,は
燃えない,ハンダ,,は
燃えない,ハンダゴテ,コードは切って「硬質ごみ」へ,は
燃えない,パンチ（穴あけ器）,,は
燃える,パンツ,,は
燃える,はんてん,,は
燃える,バンド,金具は「燃やせないごみ」へ,は
燃える,ハンドクリーム容器（ラミネート）,中身を使い切る,は
燃えない,ハンドクリーム容器（ラミネート以外）,中身を使い切る,は
燃えない,ハンドモップ,,は
燃える,ハンドルカバー,,は
燃える,パンプス,,は
燃えない,パン焼機（家庭用）,コードは切って「硬質ごみ」へ,は
燃えない,ピアニカ,,ひ
特殊・硬質,ピアノ線,,ひ
燃えない,BS(CS)アンテナ,コードは切って「硬質ごみ」へ,ひ
燃えない,BS(CS)チューナー,コードは切って「硬質ごみ」へ,ひ
燃える,ビーチサンダル,,ひ
燃えない,ビーチパラソル,,ひ
燃えない,ビールびんのふた,,ひ
燃えない,ひげ剃り,,ひ
燃える,ひしゃく（木・竹製）,,ひ
燃えない,ひしゃく（木・竹製以外）,,ひ
燃えない,ビデオカメラ,,ひ
燃えない,ビデオテープ,,ひ
燃えない,ビデオデッキ,コードは切って「硬質ごみ」へ,ひ
燃える,ビニールシート,１ｍ角以下のもの又はその寸法に切ったもの,ひ
燃える,ビニールテープ,,ひ
燃える,ビニール手袋,,ひ
燃える,ビニール袋,,ひ
燃える,ビニールロープ,長さ１ｍ以下のもの又はその寸法に切ったもの,ひ
燃えない,火バサミ,,ひ
燃えない,火箸,,ひ
燃えない,火鉢,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,ひ
燃える,ひも（ビニール系以外）,長さ１ｍ以下のもの又はその寸法に切ったもの,ひ
燃えない,ヒューズ,,ひ
燃える,漂白剤容器,中身を使い切る,ひ
ビン,ビン（油ビン）,中身を使い切る,ひ
燃えない,ビン（育毛剤容器）,中身を使い切る,ひ
ビン,ビン（一升ビン　酒ビン以外）,なるべく販売店へ,ひ
ビン,ビン（医薬品　風邪薬・胃薬）,中身を使い切る,ひ
燃えない,ビン（医薬品　風邪薬・胃薬以外）,中身を使い切る,ひ
燃えない,ビン（薄め液容器）　,中身を使い切る,ひ
ビン,ビン（栄養剤）,中身を使い切る,ひ
ビン,ビン（果実酒）,中身を使い切る,ひ
ビン,ビン（薬の容器）,中身を使い切る,ひ
燃えない,ビン（殺虫剤容器）,中身を使い切る,ひ
燃えない,ビン（修正液容器）,中身を使い切る,ひ
燃えない,ビン（整髪料容器）,中身を使い切る,ひ
燃えない,ビン（塗料容器）,,ひ
ビン,ビン（ドレッシング容器）,中身を使い切る,ひ
ビン,ビン（海苔容器　焼き海苔）,中身を使い切る,ひ
ビン,ビン（海苔ビン　佃煮）,中身を使い切る,ひ
ビン,ビン（ビン類　飲料用）,中身を使い切る,ひ
燃えない,ビン（ビン類　飲料用以外）,中身を使い切る,ひ
ビン,ビン（ふりかけ容器）,中身を使い切る,ひ
燃えない,ビン（芳香剤容器）,中身を使い切る,ひ
燃えない,ビン（哺乳ビン）,,ひ
ビン,ビン（ワイン容器）,中身を使い切る,ひ
燃えない,ピンセット,,ひ
古紙・古衣類,便箋,（その他の紙）,ひ
燃えない,ピンどめ,,ひ
燃える,ファイル（金具のついていないもの）,,ふ
燃えない,ファイル（金具のついているもの）,,ふ
燃えない,ファックス,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,ふ
燃えない,ファンデーション（コンパクト）,,ふ
燃えない,ファンヒーター,灯油を抜く　コードは切って「硬質ごみ」へ,ふ
燃えない,フィルター,,ふ
燃える,フィルム（ネガ）,,ふ
燃えない,ブースター,コードは切って「硬質ごみ」へ,ふ
特殊・硬質,ブースターケーブル,,ふ
燃える,風船,,ふ
燃える,ブーツ,,ふ
古紙・古衣類,封筒類,（その他の紙）窓付きはビニール類を取って,ふ
燃えない,風鈴,,ふ
燃える,プール（幼児用）,１ｍ角以下のもの又はその寸法に切ったもの,ふ
燃える,笛（木・竹製）,,ふ
燃えない,笛（木・竹製以外）,,ふ
燃えない,フォーク（食器）,,ふ
燃える,ふきん,,ふ
燃えない,ふきん掛け,,ふ
燃えない,フック,,ふ
古紙・古衣類,ブックカバー（紙）,（その他の紙）,ふ
燃える,ブックカバー（紙以外）,,ふ
燃える,筆,,ふ
燃えない,筆箱（金属・プララスチック製）,,ふ
燃える,筆箱（金属・プラスチック製以外）,,ふ
燃える,不凍液容器,中身を使い切る,ふ
燃える,布団カバー,,ふ
燃えない,布団乾燥機,コードは切って「硬質ごみ」へ,ふ
燃える,布団タタキ（木・竹製）,,ふ
燃えない,布団タタキ（木・竹製以外）,,ふ
燃える,布団袋,,ふ
燃える,踏み台（木製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,ふ
燃えない,踏み台（木製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,ふ
古紙・古衣類,譜面,（その他の紙）,ふ
燃える,譜面台（木製）,,ふ
燃えない,譜面台（木製以外）,,ふ
燃えない,フライパン,,ふ
燃えない,ブラインド,長さ１ｍ以下のもの又はその寸法に切ったもの,ふ
燃えない,フライ返し,,ふ
燃える,ブラウス,,ふ
燃えない,プラグ（スパークプラグ）,,ふ
燃えない,ブラシ,,ふ
燃える,ブラジャー,,ふ
燃えない,プラモデル,,ふ
燃える,ブランケット,,ふ
燃える,プランター（木製）,土等は取り除いて,ふ
燃えない,プランター（木製以外）,土等は取り除いて,ふ
燃える,ブリーフ,,ふ
燃える,ふりかけ容器（ビン以外）,中身を使い切る,ふ
燃えない,プリンター（家庭用）,コードは切って「硬質ごみ」へ,ふ
燃えない,ふるい,,ふ
燃える,ブルーシート,１ｍ角以下のもの又はその寸法に切ったもの,ふ
燃える,ブレザー,,ふ
燃える,風呂釜用洗剤容器,中身を使い切る,ふ
燃える,風呂敷,,ふ
特殊・硬質,ブロック（コンクリート）,少量に限る,ふ
燃えない,フロッピーディスク,,ふ
燃える,風呂のふた（木製）,４０㎝角以下のもの又はその寸法に切ったもの,ふ
燃えない,風呂のふた（木製以外）,,ふ
燃える,風呂のマット,４０㎝角以下のもの又はその寸法に切ったもの,ふ
燃える,風呂用イス（木製）,,ふ
燃えない,風呂用イス（木製以外）,,ふ
燃える,風呂用ブーツ,,ふ
燃えない,文化鍋,,ふ
古紙・古衣類,文庫本,（その他の紙）,ふ
特殊・硬質,ぶんちん,,ふ
燃えない,分度器,,ふ
燃えない,分配器等,,ふ
燃えない,分波器,,ふ
燃えない,噴霧器（手動・電池式）,,ふ
燃えない,ヘアードライヤー,コードは切って「硬質ごみ」へ,へ
燃えない,ヘアーブラシ,,へ
燃えない,ヘアスタイラー,コードは切って「硬質ごみ」へ,へ
燃える,ヘアバンド,,へ
燃えない,ヘアピン,,へ
燃えない,ペーパーナイフ,,へ
燃えない,ペーパーホルダー,,へ
燃える,ベスト,,へ
燃える,ペットの砂,,へ
燃える,ペットフード容器（プラスチック）,中身を使い切る,へ
燃える,ペットフード容器（缶・プラスチック以外）,中身を使い切る,へ
ペットボトル,ペットボトル,中身を使い切る,へ
燃える,ペットボトルのふた・リング・ラベル,,へ
燃えない,ヘッドホン,,へ
燃える,ベニヤ板,４０㎝角以下のもの又はその寸法に切ったもの,へ
燃える,ベビーオイル容器（プラスチック）,中身を使い切る,へ
燃えない,ベビーオイル容器（プラスチック以外）,中身を使い切る,へ
燃える,ベビーチェアー（木製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,へ
燃えない,ベビーチェアー（木製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,へ
燃えない,ベビーバス,,へ
燃える,へら（木製）,,へ
燃えない,へら（木製以外）,,へ
燃える,ベルト,金具は「燃やせないごみ」へ,へ
燃えない,ヘルメット,,へ
燃える,便座カバー,,へ
燃えない,ベンジン容器,中身を使い切る,へ
燃える,弁当殻（使い捨て）,,へ
燃える,弁当箱（木製）,,へ
燃えない,弁当箱（木製以外）,,へ
燃えない,望遠鏡,,ほ
燃える,ほうき（竹製）,長さ４０㎝以下に切ったもの又はその寸法に切ったもの,ほ
燃えない,ほうき（竹製以外）,,ほ
燃える,芳香剤容器（ビン、缶以外）,,ほ
燃える,帽子,,ほ
古紙・古衣類,包装紙,（その他の紙）,ほ
燃える,包帯,,ほ
燃える,防虫剤容器,中身を使い切る,ほ
燃える,防虫シート,,ほ
燃えない,包丁,,ほ
燃えない,包丁立て,,ほ
特殊・硬質,ボウリングの玉,,ほ
燃える,ホース,長さ１ｍ以下のもの又はその寸法に切ったもの,ほ
燃えない,ホースリール,ホースは長さ１ｍ以下に切って「燃やせるごみ」へ,ほ
燃えない,ポータブルコンロ,ガスボンベは外して,ほ
燃えない,ボード（掲示用）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,ほ
燃えない,ボード（スケートボード）,,ほ
燃える,ボードゲーム,,ほ
燃えない,ポール,長さ１ｍ以下のもの又はその寸法に切ったもの,ほ
燃える,ボール（ゴルフ）,,ほ
燃える,ボール（ソフトボール）,,ほ
燃える,ボール（テニス）,,ほ
燃える,ボール（バスケットボール）,空気を抜いて,ほ
燃える,ボール（バレーボール）,空気を抜いて,ほ
燃える,ボール（野球用）,,ほ
燃えない,ボールペン,,ほ
燃えない,ホーローカップ,,ほ
燃えない,ホーロー鍋,,ほ
燃えない,ホーローヤカン,,ほ
燃える,墨汁容器,中身を使い切る,ほ
燃えない,歩行器（幼児用）,,ほ
燃える,ポスター（防水タイプ）,,ほ
古紙・古衣類,ポスター（防水タイプ以外）,（その他の紙）,ほ
燃える,ボストンバッグ,,ほ
燃えない,ボタン,,ほ
燃えない,ホッチキス,,ほ
燃えない,ホッチキス針,,ほ
燃えない,ポット,,ほ
燃えない,ホットプレート,コードは切って「硬質ごみ」へ,ほ
燃える,ポラロイド写真,,ほ
燃えない,ポリ皿,,ほ
燃えない,ポリタンク,中身を使い切る,ほ
燃える,ポリ袋,,ほ
燃えない,ボルト（１０mm以下）,,ほ
特殊・硬質,ボルト（１０mm超）,,ほ
燃える,保冷剤,,ほ
燃える,ポロシャツ,,ほ
燃える,本立て（木製）,,ほ
燃えない,本立て（木製以外）,,ほ
燃えない,ボンド容器（金属製）,中身を使い切る,ほ
燃える,ボンド容器（金属製以外）,中身を使い切る,ほ
燃えない,マーカーペン,,ま
燃える,マーガリン容器,,ま
燃えない,麻雀パイ,,ま
燃える,麻雀マット,,ま
燃えない,マイク,コードは切って「硬質ごみ」へ,ま
燃えない,マウス（パソコン用）,コードは切って「硬質ごみ」へ,ま
燃える,マウスパッド,,ま
燃えない,マグカップ,,ま
燃えない,マグネット,,ま
燃えない,マグネットクリップ,,ま
燃えない,マグネットフック,,ま
燃える,まくら,,ま
燃える,孫の手（木・竹製）,,ま
燃えない,孫の手（木・竹製以外）,,ま
燃えない,マジックインキ,,ま
燃える,マスク（紙・布製）,,ま
燃えない,マスク（紙・布製以外）,,ま
燃えない,マッサージ機,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,ま
燃える,マッチ,使用済みに限る,ま
燃える,マット（足ふき・玄関用）,長さ４０㎝以下に切ったもの又はその寸法に切ったもの,ま
燃えない,待ち針,,ま
燃える,まな板（木製）,厚さ８㎝以下のもの,ま
燃えない,まな板（木製以外）,,ま
燃えない,まな板受け,,ま
燃えない,マニキュア容器,,ま
燃える,マフラー,,ま
燃えない,魔法瓶,,ま
燃える,豆炭,少量に限る,ま
燃えない,豆電球,,ま
燃える,マヨネーズ容器,,ま
燃える,マラカス,,ま
燃えない,万年筆,,ま
燃えない,万歩計,,ま
燃える,みかんネット,,み
燃えない,ミキサー,コードは切って「硬質ごみ」へ,み
燃えない,ミシン（電動式）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,み
燃えない,水切りカゴ,,み
燃えない,水差し,,み
燃える,水まくら,,み
燃える,ミット,,み
燃えない,密封ビン,,み
燃えない,ミニカー,,み
燃えない,ミニスキー,,み
燃えない,耳かき（金属製）,,み
燃える,耳かき（金属製以外）,,み
燃える,蒸し器（木・竹製）,,む
燃えない,蒸し器（木・竹製以外）,,む
燃えない,虫取り網,,む
燃える,虫取りカゴ（木・竹製）,,む
燃えない,虫取りカゴ（プラスチック・金属製）,,む
燃えない,虫めがね,,む
燃える,ムシロ,,む
燃えない,無線機,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,む
古紙・古衣類,名刺,（その他の紙）,め
燃えない,めがね,,め
燃える,めがねケース（ビニール・布製）,,め
燃えない,めがねケース（ビニール・布製以外）,,め
燃える,メガホン,,め
燃える,目薬の容器,中身を使い切る,め
燃えない,目覚まし時計,,め
燃えない,メジャー,,め
燃える,面,,め
燃える,めんぼう,,め
燃える,毛布,１ｍ角以下のもの又はその寸法に切ったもの,も
燃える,木炭,少量に限る,も
燃える,木片,長さ４０㎝厚さ８㎝以下のもの又はその寸法に切ったもの,も
燃えない,もちつき機,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,も
燃えない,木琴,,も
燃える,木工用ボンド容器,中身を使い切る,も
燃えない,モップ,ぞうきん部分は「燃やせるごみ」へ,も
燃える,物干し竿（竹製）,長さ４０㎝以下のもの又はその寸法に切ったもの,も
燃えない,物干し竿（竹製以外）,長さ１ｍ以下のもの又はその寸法に切ったもの,も
燃える,ももひき,,も
燃えない,やかん,,や
燃えない,焼き型,,や
燃える,ヤッケ,,や
燃えない,湯かき棒,,ゆ
燃える,浴衣,,ゆ
燃える,床ワックス容器（プラスチック）,中身を使い切る,ゆ
燃えない,床ワックス容器（プラスチック以外）,中身を使い切る,ゆ
燃えない,湯たんぽ,,ゆ
燃えない,湯のみ,,ゆ
燃えない,湯沸し器（台所用）,,ゆ
燃えない,湯沸しポット,,ゆ
燃えない,洋裁ピン,,よ
燃えない,楊枝入れ（金属製・せともの）,,よ
燃える,楊枝入れ（金属製・せともの以外）,,よ
燃えない,ライター,ガス等を使い切る,ら
燃える,ラケット（テニス・バドミントン）（木・竹製）,,ら
燃えない,ラケット（テニス・バドミントン）（木・竹製以外）,,ら
燃えない,ラジオ,コードは切って「硬質ごみ」へ,ら
燃えない,ラジカセ,コードは切って「硬質ごみ」へ,ら
燃えない,ラジコン,コードは切って「硬質ごみ」へ,ら
燃える,ラップ,,ら
燃える,ラミネートチューブ,,ら
燃えない,ランタン,,ら
燃えない,ランチジャー,,ら
燃える,ランドセル,金具は「燃やせないごみ」へ,ら
燃えない,ランプ,,ら
燃えない,リール（釣りざお用）,,り
燃える,リップクリーム容器,,り
燃える,リボン,,り
燃えない,リモコン,,り
燃える,リュックサック,金具は「燃やせないごみ」へ,り
燃えない,両手鍋,,り
燃える,両面テープ,,り
燃える,リンス容器,中身を使い切る,り
燃える,ルーズリーフファイル,,る
燃えない,ルーペ,,る
燃える,冷蔵庫脱臭剤,,れ
燃える,冷凍保存用パック,,れ
燃えない,レコード,,れ
燃えない,レコードプレイヤー,コードは切って「硬質ごみ」へ,れ
燃える,レシート,,れ
燃える,レジ袋,,れ
燃える,レジャーシート,１ｍ角以下のもの又はその寸法に切ったもの,れ
燃える,レトルト食品パック,,れ
燃えない,レモン絞り,,れ
燃えない,レンガ,少量に限る,れ
燃えない,れんげ,,れ
燃えない,レンジ,コードは切って「硬質ごみ」へ,れ
燃える,ろうそく,,ろ
燃えない,ローション容器,中身を使い切る,ろ
燃える,ロージンバック,,ろ
燃えない,ロースター,コードは切って「硬質ごみ」へ,ろ
燃えない,ろーと,,ろ
燃える,ロープ（綿製品）,長さ１ｍ以下のもの又はその寸法に切ったもの,ろ
燃えない,ローラースケート,,ろ
燃えない,ローラーブレード,,ろ
